GVOG	num_proteins_in_GVOG	Mean_Length	consensus_NCVOG	NCVOG_descs	consensus_NOGs	nog_descs	nog_categories	consensus_pfams	pfam_descs
GVOGm1193	29	93	NCVOG4082	uncharacterized protein	2S5GB	negative regulation of reductive pentose-phosphate cycle	S	PF02672	; CP12; CP12 domain
GVOGm1116	29	188	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1086	29	206	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0058	29	145	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG04796	29	334	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0902	29	217	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG08298	29	118	NCVOG1348	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG07220	29	371	no_annot	no_annotation	COG3568 | COG3021	Endonuclease Exonuclease Phosphatase | interspecies interaction between organisms	N | O	no_annot	no_annote
GVOGm1714	29	491	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1117	29	281	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0709	29	171	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0670	29	373	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0911	29	234	no_annot	no_annotation	33HGK | 3386K | KOG4651 | 30THP | 330HK | 30JM6	Sulfotransferase family | Sulfotransferase family | chondroitin 4-sulfotransferase activity | Sulfotransferase family | unknown | Sulfotransferase family	M | S	PF03567	P-loop_NTPase; Sulfotransfer_2; Sulfotransferase family
GVOGm0230	29	194	no_annot	no_annotation				no_annot	no_annote
GVOGm1041	29	292	NCVOG0245	Patatin phospholipase	COG1752 | KOG4231 | COG4667 | 2S0FJ | arCOG09020 | COG3621 | 2R9F6	Esterase of the alpha-beta hydrolase superfamily | phosphatidylethanolamine catabolic process | esterase of the alpha-beta hydrolase superfamily | Patatin-like phospholipase | esterase of the alpha-beta hydrolase superfamily | Patatin-like phospholipase | Patatin-like phospholipase	I | M | AT | S | U	PF01734	Patatin; Patatin; Patatin-like phospholipase
GVOGm0779	29	208	NCVOG1158	Chordopoxvirus late transcription factor VLTF-4: Pox_Ag35; Pox virus Ag35 surface protein	no_annot	no_annote	no_annote	PF03286	; Pox_Ag35; Pox virus Ag35 surface protein
GVOGm0371	29	422	no_annot	no_annotation	arCOG03669 | 2QZ4I | 2RXG0 | 2QS2V | 2S2RS | KOG4266 | 2RXDG | 2RX52 | 2QTN1 | 2QR6D | arCOG03665 | arCOG00702 | COG4934 | 2RS6E	Pro-kumamolisin, activation domain | serine-type peptidase activity | unknown | Pro-kumamolisin, activation domain | Pro-kumamolisin, activation domain | serine-type endopeptidase activity | Pro-kumamolisin, activation domain | Pro-kumamolisin, activation domain | Pro-kumamolisin, activation domain | tripeptidyl-peptidase activity | tripeptidyl-peptidase activity | Belongs to the peptidase S8 family | collagen metabolic process | Pro-kumamolisin, activation domain	O	PF00082	; Peptidase_S8; Subtilase family
GVOG09847	29	93	NCVOG1347	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0479	29	268	NCVOG0979	Eukaryotic peptide chain release (translation termination) factor 1	KOG0688 | arCOG01742	translation release factor activity | Directs the termination of nascent peptide synthesis (translation) in response to the termination codons UAA, UAG and UGA	J	PF03464	S11_L18p; eRF1_2; eRF1 domain 2
GVOGm0707	29	260	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG06949	29	97	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1702	29	144	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG10891	29	252	no_annot	no_annotation	COG3306 | KOG4179	glycosyltransferase involved in LPS biosynthesis | procollagen galactosyltransferase activity	M | G	PF01755	GT-A; Glyco_transf_25; Glycosyltransferase family 25 (LPS biosynthesis protein)
GVOGm1309	29	124	NCVOG1265	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0583	29	716	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG02829	29	177	no_annot	no_annotation	32815 | 2ZRDN | 33X5I | 30SAD	unknown | unknown | unknown | unknown	S	no_annot	no_annote
GVOG03105	29	94	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1599	29	147	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG03128	29	100	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1446	29	187	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1087	29	206	no_annot	no_annotation	32VYT	T5orf172	S	PF10544	GIY-YIG; T5orf172; T5orf172 domain
GVOGm0577	29	240	no_annot	no_annotation	COG3306	glycosyltransferase involved in LPS biosynthesis	M	PF01755	GT-A; Glyco_transf_25; Glycosyltransferase family 25 (LPS biosynthesis protein)
GVOGm0857	29	142	no_annot	no_annotation	arCOG00272 | COG2510	of the drug metabolite transporter (DMT) superfamily | membrane	EG	PF00892	DMT; EamA; EamA-like transporter family
GVOGm1043	29	429	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG03994	29	417	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0721	29	198	no_annot	no_annotation	COG3703 | 2S5FC | 336PY	Catalyzes the cleavage of glutathione into 5-oxo-L- proline and a Cys-Gly dipeptide. Acts specifically on glutathione, but not on other gamma-glutamyl peptides | unknown | unknown	S | P	no_annot	no_annote
GVOGm1184	29	225	no_annot	no_annotation	32RIR	Protein of unknown function (DUF3223)	S	no_annot	no_annote
GVOGm1062	29	346	no_annot	no_annotation	KOG1343 | arCOG00324 | arCOG00327 | COG0123 | KOG2721 | arCOG00326 | KOG1344 | KOG1342	NAD-dependent histone deacetylase activity (H3-K14 specific) | including yeast histone deacetylase and acetoin utilization protein | Histone deacetylase domain | including yeast histone deacetylase and acetoin utilization protein | tRNA guanylyltransferase activity | Histone deacetylase domain | protein deacetylase activity | NAD-dependent histone deacetylase activity (H3-K14 specific)	K | BQ	PF00850	Arginase; Hist_deacetyl; Histone deacetylase domain
GVOGm0601	29	186	NCVOG0039	double-stranded RNA binding protein (cd00048; pfam00035)	KOG4334	primary miRNA processing	IQ	PF02295 | PF00035	HTH; z-alpha; Adenosine deaminase z-alpha domain | DSRM; dsrm; Double-stranded RNA binding motif
GVOGm0659	29	294	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1292	29	140	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG00142	28	182			no_annot	no_annote	no_annote	no_annot	no_annote
GVOG08980	28	153	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG00307	28	470	no_annot	no_annotation	arCOG01728 | COG2078 | COG1355 | arCOG01336	Belongs to the MEMO1 family | PFAM AMMECR1 domain protein | regulation of microtubule-based process | PFAM AMMECR1 domain protein	C | S	PF01871 | PF01875	; AMMECR1; AMMECR1 | LigB; Memo; Memo-like protein
GVOGm0087	28	236	no_annot	no_annotation	arCOG00332 | arCOG00333 | COG0479 | KOG3083 | arCOG00962 | arCOG00963 | KOG3049 | arCOG00335 | COG1150	Fe-S oxidoreductase | 4Fe-4S ferredoxin iron-sulfur binding domain protein | Belongs to the succinate dehydrogenase fumarate reductase iron-sulfur protein family | prohibitin | TIGRFAM succinate dehydrogenase and fumarate reductase iron-sulfur protein | TIGRFAM succinate dehydrogenase and fumarate reductase iron-sulfur protein | 3 iron, 4 sulfur cluster binding | PFAM Uncharacterised ACR, YkgG family COG1556 | heterodisulfide reductase subunit C	C | O	PF13085 | PF13237 | PF13534 | PF13183	Fer2; Fer2_3; 2Fe-2S iron-sulfur cluster binding domain | 4Fe-4S; Fer4_10; 4Fe-4S dicluster domain | 4Fe-4S; Fer4_17; 4Fe-4S dicluster domain | 4Fe-4S; Fer4_8; 4Fe-4S dicluster domain
GVOGm1649	28	195	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG04976	28	188.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG08063	28	68	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1350	28	240	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG10427	28	132	NCVOG1303	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG04216	28	273	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1377	28	148.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1090	28	84	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0410	28	270	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0929	28	313.5	no_annot	no_annotation	2QPZC | 2Z8VQ | 32HY7 | 2ZA89 | 2SCIT	cell wall organization | Glycosyl transferase family 2 | unknown | Glycosyl transferase family 2 | unknown	S	PF13704	GT-A; Glyco_tranf_2_4; Glycosyl transferase family 2
GVOGm0766	28	258.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG03753	28	309.5	no_annot	no_annotation	2SFZJ	unknown	S	no_annot	no_annote
GVOGm0953	28	157.5			COG3703 | KOG4059	Catalyzes the cleavage of glutathione into 5-oxo-L- proline and a Cys-Gly dipeptide. Acts specifically on glutathione, but not on other gamma-glutamyl peptides | gamma-glutamylcyclotransferase activity	S | P	PF06094 | PF13772	AIG2; GGACT; Gamma-glutamyl cyclotransferase, AIG2-like | AIG2; AIG2_2; AIG2-like family
GVOG10417	28	151	NCVOG0330	RING-finger-containing E3 ubiquitin ligase	KOG0298 | 2QSQ8 | 2SC5Q | KOG0317	ATP binding | methyl-CpNpN binding | unknown | peroxisome-chloroplast membrane tethering	V | KL | O	PF13920 | PF00097	RING; zf-C3HC4_3; Zinc finger, C3HC4 type (RING finger) | RING; zf-C3HC4; Zinc finger, C3HC4 type (RING finger)
GVOGm1387	28	128	NCVOG1350	uncharacterized protein	2SCHS | 2S3BZ | COG1293 | 2S3C9	Domain of unknown function (DUF814) | Domain of unknown function (DUF814) | RNA-binding protein homologous to eukaryotic snRNP | Domain of unknown function (DUF814)	K	PF05670	NFACT_RNA-bind; NFACT-R_1; NFACT protein RNA binding domain
GVOGm1677	28	479	no_annot	no_annotation	33RSF	unknown	S	no_annot	no_annote
GVOG06800	28	244	NCVOG4129 | NCVOG1118	uncharacterized protein | uncharacterized protein	2SPDZ | 2QSRN	unknown | Chaperone of endosialidase	S	PF13884	; Peptidase_S74; Chaperone of endosialidase
GVOG11664	28	155.5	NCVOG0330	RING-finger-containing E3 ubiquitin ligase	KOG0802	protein polyubiquitination	O	PF13639	RING; zf-RING_2; Ring finger domain
GVOGm1145	28	226	no_annot	no_annotation	KOG2112 | COG0400	acyl-protein thioesterase | carboxylic ester hydrolase activity	J | O	PF02230	AB_hydrolase; Abhydrolase_2; Phospholipase/Carboxylesterase
GVOG08341	28	92	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG06157	28	399	NCVOG0815	uncharacterized protein	33WPJ | 2S7HE | 31YXW | 30J6S	unknown | unknown | unknown | unknown	S	no_annot	no_annote
GVOGm0859	28	85.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01701	28	189	NCVOG0621	putative HD phosphohydrolase	COG4341 | 2RZKR	dioxygenase activity | HD domain	Q | S	PF01966	HD_PDEase; HD; HD domain
GVOGm1349	28	418	NCVOG2058 | NCVOG0699 | NCVOG4108 | NCVOG5301 | NCVOG4629 | NCVOG4418 | NCVOG4590 | NCVOG0450 | NCVOG4416 | NCVOG4871 | NCVOG4422 | NCVOG4116 | NCVOG4414 | NCVOG4121 | NCVOG2900 | NCVOG1013 | NCVOG2860 | NCVOG5282 | NCVOG4524 | NCVOG4421 | NCVOG4123 | NCVOG4445 | NCVOG0451 | NCVOG5341 | NCVOG4423 | NCVOG4122	ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | F-box domain protein | ankyrin repeat protein | ankyrin repeat protein | uncharacterized protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | hypothetical protein, similar to ankyrin | ankyrin repeat protein | F-box domain protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein	KOG0508 | KOG0509 | 2RVX8 | 2T437 | 2SVAA | 2T3MA | 2SSN2 | 2SRQ2 | KOG4369 | 2RRX6 | 2T3X2 | 2RDPQ | 2T1I4 | KOG2421 | 2RS00 | 2RGC3 | 2T3YD | 2RRV9 | 2QSQ8 | 2SA56 | 2RG0G | 2RWHZ | 2RRY2 | 2S0QQ | 2S01I | 2SGMQ | 2RFD6 | 2SND2 | 2R8GF | 2RYD6 | KOG0502 | 2R3RD | 2SS4J | 2RF76 | 2RSTC | 2R9KB | 2RCYK | 2SH8P | 2SAG5 | 2RG5U | 2RRY9 | KOG0507 | KOG4214 | 2RW7C | 31DZ9 | 2RYI8 | 2RRZR | 2SPFS | 2SXYB | 2S08F | 2TDA9 | 2SNGG | 2T3QX | 2T3IC | 2RRVB | 2RRY1 | 2S93D | 2T21M | KOG0510 | 2RUUR | 2SJ13 | KOG4412 | 2T3DQ | 2SUEX | 2SJHA | 2RT4Z | 2RZCC | 2SSDP | 2RYJM | 2SZ34 | 2RWSN | 2SKKU | 2TE8H | 2SXCF	EP4 subtype prostaglandin E2 receptor binding | protein-cysteine S-palmitoyltransferase activity | Ankyrin repeats (many copies) | unknown | Ankyrin repeats (3 copies) | Ankyrin repeats (3 copies) | unknown | ankyrin repeats | positive regulation of MDA-5 signaling pathway | unknown | unknown | unknown | unknown | glycerophosphocholine phosphodiesterase activity | Ankyrin repeats (3 copies) | unknown | unknown | Ankyrin repeats (many copies) | methyl-CpNpN binding | Ankyrin repeats (3 copies) | unknown | Ankyrin repeats (3 copies) | unknown | unknown | Ankyrin repeats (many copies) | Ankyrin repeat | unknown | Ankyrin repeats (many copies) | Ankyrin repeats (many copies) | unknown | nerve growth factor signaling pathway | unknown | Ankyrin repeats (3 copies) | unknown | ankyrin repeats | Ankyrin repeats (many copies) | unknown | Ankyrin repeats (3 copies) | unknown | unknown | ankyrin repeats | Ankyrin repeat and sterile alpha motif | regulation of barbed-end actin filament capping | unknown | unknown | unknown | unknown | unknown | unknown | Ankyrin repeats (many copies) | protein ubiquitination | Ankyrin repeats (many copies) | unknown | unknown | Ankyrin repeats (many copies) | unknown | ankyrin repeats | unknown | temperature-gated cation channel activity | Ankyrin repeats (many copies) | Ankyrin repeats (many copies) | proteasome regulatory particle assembly | Ankyrin repeats (many copies) | unknown | unknown | Ankyrin repeats (many copies) | unknown | unknown | Ankyrin repeats (many copies) | unknown | Ankyrin repeats (many copies) | unknown | unknown | unknown	C | S | U | BQ | L | V | Z | I | J	PF13606 | PF13857 | PF12796 | PF13637	Ank; Ank_3; Ankyrin repeat | Ank; Ank_5; Ankyrin repeats (many copies) | Ank; Ank_2; Ankyrin repeats (3 copies) | Ank; Ank_4; Ankyrin repeats (many copies)
GVOG06810	28	89	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG12600	28	143	NCVOG0330	RING-finger-containing E3 ubiquitin ligase	KOG0800 | KOG0802	ubiquitin-protein transferase activity | protein polyubiquitination	O	PF13639 | PF00097	RING; zf-RING_2; Ring finger domain | RING; zf-C3HC4; Zinc finger, C3HC4 type (RING finger)
GVOGm1212	28	217.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG07226	28	75	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0395	28	530.5	NCVOG1359 | NCVOG1358	uncharacterized protein | BTB/POZ domain protein	2RZPS | KOG4693 | KOG1388 | KOG4591 | 2QUFU | 2QSZD | KOG4682 | 2QQ74 | KOG1072 | KOG0783 | 2SFV1 | KOG1230 | KOG0379 | 2RFNH | KOG2521 | KOG4350 | arCOG07536 | KOG4441 | KOG2075 | KOG1227 | 2QWK2	helix-turn-helix, Psq domain | meiotic cell cycle | platelet-activating factor acetyltransferase activity | positive regulation of pinocytosis | BTB/POZ domain | Broad-Complex, Tramtrack and Bric a brac | gamete generation | Galactose oxidase, central domain | protein ubiquitination | protein tyrosine kinase inhibitor activity | unknown | Galactose oxidase, central domain | nitrile biosynthetic process | Broad-Complex, Tramtrack and Bric a brac | transmembrane protein 53 | circadian sleep/wake cycle, non-REM sleep | cobalamin transport | protein ubiquitination | ubiquitin protein ligase binding | tRNA 4-demethylwyosine alpha-amino-alpha-carboxypropyltransferase activity | post-translational protein modification	KLT | S | O | L | P | V | DZ | J | K	PF13854 | PF13418 | PF13964 | PF13415 | PF07707 | PF00651 | PF01344 | PF07646	Beta_propeller; Kelch_5; Kelch motif | Beta_propeller; Kelch_4; Galactose oxidase, central domain | Beta_propeller; Kelch_6; Kelch motif | Beta_propeller; Kelch_3; Galactose oxidase, central domain | POZ; BACK; BTB And C-terminal Kelch | POZ; BTB; BTB/POZ domain | Beta_propeller; Kelch_1; Kelch motif | Beta_propeller; Kelch_2; Kelch motif
GVOGm1587	28	393	NCVOG4804 | NCVOG0078	H2B histone | Histone 2A-domain-containing protein	KOG3467 | arCOG02144 | KOG1757 | KOG1744 | KOG1756 | KOG1745	protein heterodimerization activity | transcription factor (CBF NF-Y) | chromatin silencing | protein heterodimerization activity | Histone H2A | protein heterodimerization activity	K | B	PF00125 | PF00808	Histone; Histone; Core histone H2A/H2B/H3/H4 | Histone; CBFD_NFYB_HMF; Histone-like transcription factor (CBF/NF-Y) and archaeal histone
GVOG09190	28	265	no_annot	no_annotation	COG3774	pathogenesis	M	PF05704 | PF04488	GT-A; Caps_synth; Capsular polysaccharide synthesis protein | GT-A; Gly_transf_sug; Glycosyltransferase sugar-binding region containing DXD motif
GVOGm1320	28	173	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG08077	28	708	no_annot	no_annotation	COG0136 | KOG1367 | COG0057 | COG0126 | arCOG00493 | KOG1643 | arCOG00494 | arCOG00496 | KOG0657	Catalyzes the NADPH-dependent formation of L-aspartate- semialdehyde (L-ASA) by the reductive dephosphorylation of L- aspartyl-4-phosphate | phosphoglycerate kinase activity | glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity | phosphoglycerate kinase activity | Belongs to the glyceraldehyde-3-phosphate dehydrogenase family | triosephosphate isomerase | aspartate-semialdehyde dehydrogenase | Belongs to the phosphoglycerate kinase family | glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) activity	E | F | G	PF00162 | PF00044 | PF02800	; PGK; Phosphoglycerate kinase | NADP_Rossmann; Gp_dh_N; Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain | GADPH_aa-bio_dh; Gp_dh_C; Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain
GVOG01845	28	230	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0558	28	917	no_annot	no_annotation				no_annot	no_annote
GVOGm1360	28	189.5	no_annot	no_annotation	2Z8N2	Dam-replacing family	L	PF06044	PDDEXK; DpnI; Dam-replacing family
GVOGm0989	28	364.5	NCVOG0968	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1633	28	271	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG09743	28	170	NCVOG4006	uncharacterized protein	2ZC1E | 2SWUR | arCOG06669	unknown | unknown | unknown	S	no_annot	no_annote
