pVOGs	Host Domain	Number of Sequences	Number of Genomes	Number of Virus Families	Number of Virus Genera	Protein Annotations	Mapping to POGs 2013
VOG2095	Bacteria	10	10	2	1	hypothetical protein; putative predicted product	Mapped to: POG2095
VOG2096	Bacteria	70	69	3	2	Gp23; P5; Putative antitermination Q protein; Q; Q antitermination protein; Q protein; antitermination Q; antitermination protein; antitermination protein Q; antiterminator Q; antiterminator Q protein; antiterminator protein Q; gene 59 protein; hypothetical protein; late gene regulator Q; phage antitermination protein Q; putative anti-termination protein Q; putative antitermination protein Q; putative late gene regulator Q; transcription antitermination protein	Complete union of: POG2096; POG0616
VOG2097	Bacteria	15	15	1	0	conserved hypothetical protein; hypothetical protein; putative predicted product	Mapped to: POG2097
VOG2098	Bacteria	15	15	1	0	DNA packaging protein; Sterm; hypothetical protein; phage terminase small subunit; putative small subunit terminase; putative terminase small subunit	Mapped to: POG2098
VOG2100	Bacteria	20	20	1	1	hypothetical protein	Mapped to: POG2100
VOG2101	Bacteria	28	28	1	2	capsid protein; hypothetical protein; major capsid protein; major structural protein; putative virion structural protein; structural protein; virion structural protein	Mapped to: POG2101
VOG2102	Bacteria	16	16	1	0	hypothetical protein	Mapped to: POG2102
VOG2103	Bacteria	20	20	1	0	hypothetical protein; putative predicted product	Mapped to: POG2103
VOG2104	Bacteria	16	16	1	0	hypothetical protein	Mapped to: POG2104
VOG2105	Bacteria	31	31	2	2	conserved hypothetical protein; hypothetical protein; structural protein; virion associated protein; virion-associated phage protein	Mapped to: POG2105
VOG2106	Bacteria	4	4	2	1	hypothetical protein	Mapped to: POG2106
VOG2107	Bacteria	12	12	1	0	conserved hypothetical protein; hypothetical protein	Mapped to: POG2107
VOG2111	Bacteria	19	19	2	0	hypothetical protein; outer membrane protein; putative outer membrane protein; putative predicted product	Mapped to: POG2111
VOG2113	Bacteria	29	29	1	1	hypothetical protein; putative predicted product; virion associated protein; virion-associated phage protein	Mapped to: POG2113
VOG2114	Bacteria	18	18	1	0	hypothetical protein; minor tail protein	Mapped to: POG2114
VOG2115	Bacteria	15	15	1	0	hypothetical protein; proteobacterial sortase system OmpA family protein	Mapped to: POG2115
VOG2116	Bacteria	22	22	1	0	hypothetical protein; putative predicted product	Mapped to: POG2116
VOG2117	Bacteria	22	22	1	0	conserved hypothetical protein; hypothetical protein; putative predicted product	Mapped to: POG2117
VOG2118	Bacteria	3	3	2	0	putative predicted product	Mapped to: POG2118
VOG2119	Bacteria	118	118	3	5	-; BcepGomrgp11; gp13; gp41; gp46; gp77; hypothetical protein; hypothetical protein ORF015; hypothetical protein ORF026; minor tail protein; phage structural protein; possible peptidoglycan binding protein; putative minor tail protein; putative predicted product; putative structural protein; putative tail minor protein; putative tail terminator protein; structural phage protein; structural protein; tail protein; tail terminator protein; virion protein	Complete union of: POG2119; POG4227; POG1531
VOG2120	Bacteria	50	50	3	4	P12; Phage tail protein; TsbA; conserved phage protein; gp14; gp44; hypothetical protein; major tail protein; p14; phage tail protein; putative major tail protein; putative phage major tail protein; tail fiber protein; tail protein; tail protein/depolymerase	Mapped to: POG2120
VOG2121	Bacteria	91	82	3	6	-; P13; TfmA; TfmS; gp43; gp49; hypothetical protein; p15; putative DUF1789 domain protein; putative predicted product; tail assembly chaperone; tape measure chaperone; tape measure chaperone protein	Complete union of: POG2121; POG1534; POG3762; POG1533
VOG2123	Bacteria	31	31	3	3	DNA Methyltransferase; MT-A70 family protein; VHS1107 protein; adenine DNA methyltransferase; adenine methylase; adenine specific methyltransferase; hypothetical protein; methylase; methyltransferase; putative N-6 adenine methyltransferase; putative N6-adenosine-methyltransferase; putative adenine methylase; putative adenine-specific DNA methyltransferase; putative adenine-specific DNA methyltransferase, transcriptional activator; putative adenine-specific DNA-methytransferase; transcriptional activator; transcriptional activator, adenine-specific DNA methyltransferase	Mapped to: POG2123
VOG2124	Bacteria+Archaea	15	15	3	1	Ren protein; hypothetical protein; putative Ren exclusion protein; putative Ren protein; putative predicted product; putative protein Ren; putative ren-like protein; putative transcriptional regulator-HTH domain; ren exclusion protein	Mapped to: POG2124
VOG2125	Bacteria	32	32	3	5	gp28; gp34; gp44, putative bacteriophage membrane protein; gp46, putative bacteriophage membrane protein; holin; holin/antiholin; hypothetical protein; phage-encoded membrane protein; phage-related transmembrane protein; protein of unknown function DUF754; putative holin; putative predicted product	Mapped to: POG2125
VOG2127	Bacteria	12	12	1	1	AB1gp02; BcepNY3gp02; gp03; hypothetical protein	Mapped to: POG2127
VOG2128	Bacteria	14	14	1	1	AB1gp04; BcepNY3gp04; gp05; hypothetical protein	Mapped to: POG2128
VOG2129	Bacteria	13	13	1	1	AB1gp06; BcepNY3gp05; gp06; hypothetical protein	Mapped to: POG2129
VOG2130	Bacteria	13	13	1	1	AB1gp16; gp13; gp14; hypothetical protein; minor capsid protein; putative structural protein	Mapped to: POG2130
VOG2131	Bacteria	47	47	2	1	-; AB1gp24; gp58; hypothetical protein; putative predicted product	Mapped to: POG2131
VOG2137	Bacteria	6	6	2	1	hypothetical protein; major tropism determinant; putative predicted product	Mapped to: POG2137
VOG2138	Bacteria	5	5	1	0	hypothetical protein	Mapped to: POG2138
VOG2142	Bacteria	28	28	2	3	A Transposase; A transposase; DNA transposition protein A; DNA-binding domain protein; integrase; phage transposase; putative A transposase; putative transposase; transposase; transposase A	Complete union of: POG2142; POG2787; POG2143; POG2144
VOG2147	Bacteria	15	15	2	2	LacI-like regulatory protein; hypothetical protein	Mapped to: POG2147
VOG2149	Bacteria	16	16	2	2	Gam; Gam-like protein; host nuclease inhibitor protein; host-nuclease inhibitor Gam; host-nuclease inhibitor protein; host-nuclease inhibitor protein Gam2C putative; hypothetical protein; putative host-nuclease inhibitor protein	Mapped to: POG2149
VOG2152	Bacteria	10	10	1	2	hypothetical protein	Mapped to: POG2152
VOG2153	Bacteria	33	33	2	4	GemA; GemA-like protein; PF06252 family protein; gp02; gp33; hypothetical protein; hypothetical protein similar to mu GemA; putative Mu-like GemA	Mapped to: POG2153
VOG2154	Bacteria	40	37	2	4	DNA transposition protein; GemB; Mor; Mor transcription activator; gp01; gp32, DNA-binding protein RdgB; hypothetical protein; late gene transcriptional activator; middle operon regulator; mor transcription activator family protein; putative Mor; putative integral membrane protein; putative mor transcriptional regulator; putative transcription regulator; putative transcriptional regulator; regulator of late transcription; transcriptional regulator	Complete union of: POG2154; POG1934
VOG2163	Bacteria	28	25	2	3	I protein; Mu-like prophage I protein; bacteriophage Mu I protein gp32; hypothetical protein; protease; protease (I) and scaffold (Z) protein; protease (I) and scaffold (Z) proteins; protease(I) and scaffold(Z) protein; putative protease (I) and scaffold (Z) protein; putative protease protein; putative protease/scaffold protein; scaffold protein	Mapped to: POG2163
VOG2164	Bacteria	20	20	3	2	hypothetical protein	Mapped to: POG2164
VOG2165	Bacteria	43	43	2	5	Mu-like prophage protein gp36; PF07030 family protein; conserved phage protein; gp10, conserved hypothetical protein; gp36; hypothetical protein; putative head-tail connector protein	Mapped to: POG2165
VOG2166	Bacteria	29	29	2	2	Virion structural protein; hypothetical protein; structural protein; virion structural protein	Mapped to: POG2166
VOG2167	Bacteria	48	48	3	5	Ig-like domain-containing protein; VHS1058 protein; Virion structural protein; bacterial Ig-like domain-containing protein; hypothetical protein; major tail protein; phage structural protein; putative prophage repressor protein; putative tail sheath protein; structural protein; virion associated protein; virion structural protein	Mapped to: POG2167
VOG2168	Bacteria	13	13	1	2	hypothetical protein	Mapped to: POG2168
VOG2170	Bacteria	51	51	1	3	Virion structural protein; hypothetical protein; hypothetical protein ORF021; hypothetical protein ORF032; putative predicted product; putative virion structural protein; structural phage protein; structural protein; tail assembly protein; tail fiber structural protein; virion protein; virion structural protein	Mapped to: POG2170
VOG2171	Bacteria	39	39	1	2	Virion structural protein; hypothetical protein; hypothetical protein ORF022; hypothetical protein ORF033; putative predicted product; putative virion structural protein; structural phage protein; structural protein; tail assembly protein; virion protein; virion structural protein	Mapped to: POG2171
VOG2172	Bacteria	59	59	3	4	Virion structural protein; hypothetical protein; hypothetical protein ORF023; hypothetical protein ORF034; putative predicted product; putative serine--glyoxylate aminotransferase; putative tail assembly protein; putative virion structural protein; resolvase; structural phage protein; structural protein; tail assembly protein; tail assembly structural protein; virion protein; virion structural protein	Complete union of: POG2172; POG1417
VOG2173	Bacteria	48	48	3	5	conserved tail assembly protein; hypothetical protein; hypothetical protein ORF037; putative predicted product; putative tail assembly protein; tail assembly protein; tail tape measure protein	Mapped to: POG2173
VOG2174	Bacteria	13	13	2	1	hypothetical protein; putative predicted product	Mapped to: POG2174
VOG2177	Bacteria	20	20	1	1	gp22; gp25; gp27; gp28; hypothetical protein; putative predicted product; putative tail chaperone; tail assembly chaperone	Mapped to: POG2177
VOG2178	Bacteria	34	34	1	2	gp10; gp40; gp6; gp8; gp9; hypothetical protein; putative predicted product	Mapped to: POG2178
VOG2180	Bacteria	34	34	1	1	gp34; gp40; gp41; gp42; gp44; gp45; hypothetical protein; putative predicted product	Mapped to: POG2180
VOG2183	Bacteria	89	89	1	3	DnaB-like helicase; gp63; gp64; gp65; gp66; gp67; gp68; gp69; gp71; gp72; gp75; gp77; gp79; gp80; gp82; gp83; gp84; gp86; hypothetical protein; putative predicted product	Mapped to: POG2183
VOG2184	Bacteria	50	50	1	3	gp147; gp153; gp40; gp42; gp69; gp70; gp71; gp74; gp75; gp76; gp77; gp78; gp79; hypothetical protein; putative predicted product	Mapped to: POG2184
VOG2185	Bacteria	43	43	2	1	gp77; gp78; gp81; gp82; gp84; hypothetical protein; putative NTPase; putative predicted product	Mapped to: POG2185
VOG2186	Bacteria	31	31	3	4	CII; CII protein; CII-like protein; DNA binding transcriptional regulator; bacteriophage regulatory protein CII; gp14; gp31; gp53; gp65; hypothetical protein; hypothetical protein gp44; putative cII protein; putative predicted product; regulatory CII family protein; regulatory cII-like protein; regulatory protein; regulatory protein CII; transcriptional regulator	Mapped to: POG2186
VOG2187	Bacteria	7	7	1	1	Fil; cell division blocking protein; gp32; hypothetical protein	Mapped to: POG2187
VOG2188	Bacteria	27	22	3	2	DNA damage-inducible protein; DNA-damage-inducible protein DinI; DNA-damage-inducible protein I; DinI; DinI family protein; DinI-like family protein; DinI-like protein; Gp22; ImpC protein; SOS induction modulator; Tum; TumB; TumB protein; bacteriophage 186 Tum95.5; bacteriophage damage-inducible protein DinI; bacteriophage putative DNA damage-inducible protein; DinI homolog; hypothetical protein; putative damage-inducible protein DinI; putative predicted product; truncated Tum95.2; truncated Tum95.4; virulence protein MsgA	Mapped to: POG2188
VOG2190	Bacteria	91	91	1	1	-; Dda.1 conserved hypothetical protein; Dda.1 hypothetical protein; conserved hypothetical protein; dda.1 hypothetical protein; gp32; hypothetical protein; hypothetical protein dda.1; putative phage protein [Escherichia phage wV7]; putative predicted product	Complete union of: POG2190; POG3820
VOG2191	Bacteria	17	17	1	1	RB32ORF047c hypothetical protein; conserved hypothetical protein; hypothetical protein; putative predicted product	Mapped to: POG2191
VOG2192	Bacteria	52	52	1	1	-; gp46.1 conserved hypothetical protein; gp46.1 hypothetical protein; gp68; hypothetical protein; hypothetical protein gp46.1; hypothetical protein gp46.1 [Shigella phage Shfl2]; putative predicted product	Mapped to: POG2192
VOG2194	Bacteria	54	54	1	1	-; Alt.1 conserved hypothetical protein; alt.1 hypothetical protein; conserved hypothetical protein; hypothetical protein; hypothetical protein Shfl2p200 [Shigella phage Shfl2]; putative predicted product	Mapped to: POG2194
VOG2195	Bacteria	57	57	1	1	-; gp30.5 conserved hypothetical protein; gp30.5 hypothetical protein; hypothetical protein; hypothetical protein Shfl2p206 [Shigella phage Shfl2]; putative predicted product	Mapped to: POG2195
VOG2196	Bacteria	74	74	2	1	-; conserved hypothetical protein; gp30.9; gp30.9 conserved hypothetical protein; gp30.9 hypothetical protein; hypothetical protein; hypothetical protein [Escherichia phage e11/2]; putative predicted product; uncharacterized 11.1 kDa protein	Mapped to: POG2196
VOG2198	Bacteria	84	84	2	2	-; Frd.1; Frd.1 conserved hypothetical protein; conserved hypothetical protein; frd.1 hypothetical protein; hypothetical protein; hypothetical protein [Escherichia phage e11/2]; phage protein	Mapped to: POG2198
VOG2199	Bacteria	33	33	1	1	gp52.1 conserved hypothetical predicted membrane protein; gp52.1 hypothetical protein; hypothetical protein; predicted membrane protein; putative predicted product	Mapped to: POG2199
VOG2200	Bacteria	12	12	1	1	acridine resistance protein; gp4; hypothetical protein; putative predicted product	Mapped to: POG2200
VOG2201	Bacteria	48	48	1	1	-; RB32ORF268c hypothetical protein; RB69ORF272c hypothetical protein; conserved hypothetical protein; gp13; hypothetical protein; hypothetical protein ACG-C40_0271 [Enterobacteria phage vB_EcoM_ACG-C40]; putative predicted product	Mapped to: POG2201
VOG2202	Bacteria	8	8	1	1	hypothetical protein; orf35	Complete union of: POG2202; POG2203
VOG2204	Bacteria	9	9	1	1	hypothetical protein; nucleoid DNA-binding protein; orf34; putative predicted product	Mapped to: POG2204
VOG2205	Bacteria	8	8	1	1	hypothetical protein; orf33; putative predicted product	Mapped to: POG2205
VOG2206	Bacteria	10	10	2	1	hypothetical protein; orf30; putative predicted product; tail protein	Mapped to: POG2206
VOG2207	Bacteria	9	9	1	1	hypothetical protein; orf28; putative predicted product	Mapped to: POG2207
VOG2210	Bacteria	9	9	1	1	hypothetical protein; putative predicted product; putative tail tube protein; tail tube; tail tube protein	Mapped to: POG2210
VOG2211	Bacteria	9	9	1	1	hypothetical protein; putative predicted product; putative tail sheath protein; tail sheath; tail sheath protein	Mapped to: POG2211
VOG2212	Bacteria	10	9	1	1	hypothetical protein; orf22; putative predicted product; putative tail completion protein; virion morphogenesis family protein	Mapped to: POG2212
VOG2213	Bacteria	9	9	1	1	hypothetical protein; orf21; putative predicted product; putative tail protein	Mapped to: POG2213
VOG2215	Bacteria	13	13	1	2	CI; CI repressor; CI repressor protein; HTH-type transcriptional regulator PrtR; P2 CI-like protein; cI repressor; putative predicted product; repressor	Mapped to: POG2215
VOG2216	Bacteria	9	9	1	1	hypothetical protein; orf26; putative predicted product	Mapped to: POG2216
