L1	L2	L3	KO	Function	EC
Translation, ribosomal structure and biogenesis	Wyosine [tRNA(Phe)-imidazoG37] synthetase, radical SAM superfamily		COG0731	Tyw1:tRNA modification	
Defense mechanisms	Restriction endonuclease S subunit		COG0732	HsdS:	
General function prediction only	Na+-dependent transporter, SNF family		COG0733	YocR:	
Inorganic ion transport and metabolism	Fe2+ or Zn2+ uptake regulation protein Fur/Zur		COG0735	Fur:	
Lipid transport and metabolism	Phosphopantetheinyl transferase (holo-ACP synthase)		COG0736	AcpS:	
Nucleotide transport and metabolism	2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family		COG0737	UshA:	
Defense mechanisms	2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family		COG0737	UshA:	
Carbohydrate transport and metabolism	Fucose permease		COG0738	FucP:	
Cell wall/membrane/envelope biogenesis	Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contains LysM domain		COG0739	NlpD:	
Posttranslational modification, protein turnover, chaperones	ATP-dependent protease ClpP, protease subunit		COG0740	ClpP:	
Cell wall/membrane/envelope biogenesis	Soluble lytic murein transglycosylase or regulatory protein s ( may contain LysM/invasin domain)		COG0741	MltE:	
Translation, ribosomal structure and biogenesis	16S rRNA G966 N2-methylase RsmD		COG0742	RsmD:16S rRNA modification	
Lipid transport and metabolism	1-deoxy-D-xylulose 5-phosphate reductoisomerase		COG0743	Dxr:Isoprenoid biosynthesis	
Cell wall/membrane/envelope biogenesis	Penicillin-binding protein 1B/1F, peptidoglycan  transglycosylase/transpeptidase		COG0744	MrcB:	
Signal transduction mechanisms	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain		COG0745	OmpR:	
Transcription	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain		COG0745	OmpR:	
Coenzyme transport and metabolism	Molybdopterin-guanine dinucleotide biosynthesis protein A		COG0746	MobA:Molybdopterin biosynthesis	
Amino acid transport and metabolism	ABC-type transport system, periplasmic component		COG0747	DdpA:	
Inorganic ion transport and metabolism	Putative heme iron utilization protein, contains PNPOx domain		COG0748	HugZ:	
Replication, recombination and repair	DNA polymerase I, 3'-5' exonuclease and polymerase domains		COG0749	PolA:	
Posttranslational modification, protein turnover, chaperones	Membrane-associated protease RseP, regulator of RpoE activity		COG0750	RseP:	
Transcription	Membrane-associated protease RseP, regulator of RpoE activity		COG0750	RseP:	
Translation, ribosomal structure and biogenesis	Glycyl-tRNA synthetase, beta subunit		COG0751	GlyS:Aminoacyl-tRNA synthetases	
Translation, ribosomal structure and biogenesis	Glycyl-tRNA synthetase, alpha subunit		COG0752	GlyQ:Aminoacyl-tRNA synthetases	
Inorganic ion transport and metabolism	Catalase		COG0753	KatE:	
Amino acid transport and metabolism	Glutathionylspermidine synthase, CHAP domain		COG0754	Gsp:	
Posttranslational modification, protein turnover, chaperones	ABC-type transport system involved in cytochrome c biogenesis, permease component		COG0755	CcmC:	
Nucleotide transport and metabolism	dUTP pyrophosphatase (dUTPase)		COG0756	Dut:Thymidylate biosynthesis	
Defense mechanisms	dUTP pyrophosphatase (dUTPase)		COG0756	Dut:Thymidylate biosynthesis	
Amino acid transport and metabolism	3-dehydroquinate dehydratase		COG0757	AroQ:Aromatic amino acid biosynthesis	
Replication, recombination and repair	Predicted Rossmann fold nucleotide-binding protein DprA/Smf involved in DNA uptake		COG0758	Smf:	
Cell wall/membrane/envelope biogenesis	Membrane-anchored protein YidD, putatitve component of membrane protein insertase Oxa1/YidC/SpoIIIJ		COG0759	YidD:	
Posttranslational modification, protein turnover, chaperones	Peptidyl-prolyl isomerase, parvulin family		COG0760	SurA:	
Lipid transport and metabolism	4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH		COG0761	IspH:Isoprenoid biosynthesis	
Posttranslational modification, protein turnover, chaperones	Cytochrome b6 maturation protein CCB3/Ycf19 and related maturases, YggT family		COG0762	Ycf19:	
Cell wall/membrane/envelope biogenesis	Lipid A disaccharide synthetase		COG0763	LpxB:Lipid A biosynthesis	
Lipid transport and metabolism	3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratase		COG0764	FabA:Fatty acid biosynthesis	
Amino acid transport and metabolism	ABC-type amino acid transport system, permease component		COG0765	HisM:	
Cell wall/membrane/envelope biogenesis	UDP-N-acetylglucosamine enolpyruvyl transferase		COG0766	MurA:Mureine biosynthesis	
Cell wall/membrane/envelope biogenesis	Permease subunit MlaE of the ABC-type intermembrane phospholipid transporter Mla		COG0767	MlaE:	
Cell cycle control, cell division, chromosome partitioning	Cell division protein FtsI, peptidoglycan transpeptidase (Penicillin-binding protein 2)		COG0768	FtsI:	
Cell wall/membrane/envelope biogenesis	Cell division protein FtsI, peptidoglycan transpeptidase (Penicillin-binding protein 2)		COG0768	FtsI:	
Cell wall/membrane/envelope biogenesis	UDP-N-acetylmuramyl tripeptide synthase		COG0769	MurE:Mureine biosynthesis	
Cell wall/membrane/envelope biogenesis	UDP-N-acetylmuramyl pentapeptide synthase		COG0770	MurF:Mureine biosynthesis	
Cell wall/membrane/envelope biogenesis	UDP-N-acetylmuramoylalanine-D-glutamate ligase		COG0771	MurD:Mureine biosynthesis	
Cell cycle control, cell division, chromosome partitioning	Peptodoglycan polymerase FtsW/RodA/SpoVE		COG0772	FtsW:	
Cell wall/membrane/envelope biogenesis	UDP-N-acetylmuramate-alanine ligase MurC and related ligases, MurC/Mpl family		COG0773	MurC:Mureine biosynthesis	
Cell wall/membrane/envelope biogenesis	UDP-3-O-acyl-N-acetylglucosamine deacetylase		COG0774	LpxC:Lipid A biosynthesis	
Nucleotide transport and metabolism	Nucleoside phosphorylase/nucleosidase, includes 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase MtnN and futalosine hydrolase MqnB		COG0775	MtnN:Menaquinone biosynthesis	
Coenzyme transport and metabolism	Nucleoside phosphorylase/nucleosidase, includes 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase MtnN and futalosine hydrolase MqnB		COG0775	MtnN:Menaquinone biosynthesis	
Replication, recombination and repair	Bacterial nucleoid DNA-binding protein IHF-alpha		COG0776	HimA:	
Lipid transport and metabolism	Acetyl-CoA carboxylase beta subunit		COG0777	AccD:Fatty acid biosynthesis	
Energy production and conversion	Nitroreductase		COG0778	NfnB:Pyrimidine degradation	
Translation, ribosomal structure and biogenesis	Ribosome maturation factor RimP		COG0779	RimP:	
Translation, ribosomal structure and biogenesis	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF, C-terminal domain, T-fold superfamily		COG0780	QueFC:tRNA modification	
Transcription	Transcription antitermination protein NusB		COG0781	NusB:	
Transcription	Transcription elongation factor, GreA/GreB family		COG0782	GreA:	
Inorganic ion transport and metabolism	DNA-binding ferritin-like protein (oxidative damage protectant)		COG0783	Dps:	
Defense mechanisms	DNA-binding ferritin-like protein (oxidative damage protectant)		COG0783	Dps:	
Signal transduction mechanisms	CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F		COG0784	CheY:	
Energy production and conversion	Cytochrome c biogenesis protein CcdA		COG0785	CcdA:	
Posttranslational modification, protein turnover, chaperones	Cytochrome c biogenesis protein CcdA		COG0785	CcdA:	
Amino acid transport and metabolism	Na+/glutamate symporter		COG0786	GltS:	
Cell wall/membrane/envelope biogenesis	Alanine racemase		COG0787	Alr:Mureine biosynthesis	
Nucleotide transport and metabolism	Formyltetrahydrofolate hydrolase		COG0788	PurU:Purine biosynthesis	
Transcription	DNA-binding transcriptional regulator, MerR family		COG0789	SoxR:	
General function prediction only	TPR repeat		COG0790	TPR:	
Cell wall/membrane/envelope biogenesis	Cell wall-associated hydrolase, NlpC_P60 family		COG0791	NlpC:	
Replication, recombination and repair	Predicted endonuclease distantly related to archaeal Holliday junction resolvase, YraN/UPF0102 family		COG0792	YraN:	
Posttranslational modification, protein turnover, chaperones	C-terminal processing protease CtpA/Prc, contains a PDZ domain		COG0793	CtpA:	
Carbohydrate transport and metabolism	D-arabinose 5-phosphate isomerase GutQ		COG0794	GutQ:	
Cell wall/membrane/envelope biogenesis	D-arabinose 5-phosphate isomerase GutQ		COG0794	GutQ:	
Cell wall/membrane/envelope biogenesis	Lipopolysaccharide export LptBFGC system, permease protein LptF		COG0795	LptF:	
Cell motility	Lipopolysaccharide export LptBFGC system, permease protein LptF		COG0795	LptF:	
Cell wall/membrane/envelope biogenesis	Glutamate racemase		COG0796	MurI:Mureine biosynthesis	
Cell wall/membrane/envelope biogenesis	Peptidoglycan lytic transglycosylase RlpA, contains C-terminal SPOR domain		COG0797	RlpA:	
Inorganic ion transport and metabolism	Arsenite efflux pump ArsB, ACR3 family		COG0798	ACR3:	
Translation, ribosomal structure and biogenesis	Ribosomal silencing factor RsfS, regulates association of 30S and 50S subunits		COG0799	RsfS:	
Carbohydrate transport and metabolism	2-keto-3-deoxy-6-phosphogluconate aldolase		COG0800	Eda:Entner-Doudoroff pathway	
Coenzyme transport and metabolism	7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase (folate biosynthesis)		COG0801	FolK:Folate biosynthesis	
Translation, ribosomal structure and biogenesis	tRNA A37 threonylcarbamoyladenosine biosynthesis protein TsaE		COG0802	TsaE:tRNA modification	
Inorganic ion transport and metabolism	ABC-type Zn uptake system ZnuABC, Zn-binding component ZnuA		COG0803	ZnuA:	
Amino acid transport and metabolism	Urease alpha subunit		COG0804	UreC:	
Intracellular trafficking, secretion, and vesicular transport	Twin-arginine protein secretion pathway component TatC		COG0805	TatC:	
Translation, ribosomal structure and biogenesis	Ribosomal 30S subunit maturation factor RimM, required for 16S rRNA processing		COG0806	RimM:16S rRNA modification	
Coenzyme transport and metabolism	GTP cyclohydrolase II		COG0807	RibA:Riboflavin/FAD biosynthesis	
Translation, ribosomal structure and biogenesis	S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase)		COG0809	QueA:tRNA modification	
Cell wall/membrane/envelope biogenesis	Periplasmic protein TonB, links inner and outer membranes		COG0810	TonB:	
Intracellular trafficking, secretion, and vesicular transport	Biopolymer transport protein ExbB/TolQ		COG0811	TolQ:	
Cell wall/membrane/envelope biogenesis	UDP-N-acetylenolpyruvoylglucosamine reductase		COG0812	MurB:Mureine biosynthesis	
Nucleotide transport and metabolism	Purine-nucleoside phosphorylase		COG0813	DeoD:Purine salvage	
Amino acid transport and metabolism	Amino acid permease		COG0814	SdaC:	
Cell wall/membrane/envelope biogenesis	Apolipoprotein N-acyltransferase		COG0815	Lnt:	
Translation, ribosomal structure and biogenesis	YqgF/RuvX protein, pre-16S rRNA maturation RNase/Holliday junction resolvase/anti-termination factor		COG0816	YqgF:	
Replication, recombination and repair	YqgF/RuvX protein, pre-16S rRNA maturation RNase/Holliday junction resolvase/anti-termination factor		COG0816	YqgF:	
Transcription	YqgF/RuvX protein, pre-16S rRNA maturation RNase/Holliday junction resolvase/anti-termination factor		COG0816	YqgF:	
Replication, recombination and repair	Holliday junction resolvasome RuvABC endonuclease subunit RuvC		COG0817	RuvC:	
Lipid transport and metabolism	Diacylglycerol kinase		COG0818	DgkA:	
Coenzyme transport and metabolism	Aminopyrimidine aminohydrolase TenA (thiamine salvage pathway)		COG0819	TenA:	
Translation, ribosomal structure and biogenesis	Adenine C2-methylase RlmN of 23S rRNA A2503 and tRNA A37		COG0820	RlmN:23S rRNA modification	
Lipid transport and metabolism	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase IspG/GcpE		COG0821	IspG:Isoprenoid biosynthesis	
Posttranslational modification, protein turnover, chaperones	Fe-S cluster assembly scaffold protein IscU, NifU family		COG0822	IscU:	
Intracellular trafficking, secretion, and vesicular transport	Periplasmic component TolB of the Tol biopolymer transport system		COG0823	TolB:	
Lipid transport and metabolism	Acyl-CoA thioesterase FadM		COG0824	FadM:Menaquinone biosynthesis	
Lipid transport and metabolism	Acetyl-CoA carboxylase alpha subunit		COG0825	AccA:Fatty acid biosynthesis	
Translation, ribosomal structure and biogenesis	23S rRNA C2501 and tRNA U34 5'-hydroxylation protein RlhA/YrrN/YrrO, U32 peptidase family		COG0826	RlhA:23S rRNA modification	
Replication, recombination and repair	Adenine-specific DNA N6-methylase		COG0827	YtxK:	
Translation, ribosomal structure and biogenesis	Ribosomal protein S21		COG0828	RpsU:Ribosome 30S subunit	
Posttranslational modification, protein turnover, chaperones	Urease accessory protein UreH		COG0829	UreH:	
Posttranslational modification, protein turnover, chaperones	Urease accessory protein UreF		COG0830	UreF:	
Amino acid transport and metabolism	Urease gamma subunit		COG0831	UreA:	
Amino acid transport and metabolism	Urease beta subunit		COG0832	UreB:	
Amino acid transport and metabolism	Amino acid permease		COG0833	LysP:	
Amino acid transport and metabolism	ABC-type amino acid transport/signal transduction system, periplasmic component/domain		COG0834	HisJ:	
Signal transduction mechanisms	ABC-type amino acid transport/signal transduction system, periplasmic component/domain		COG0834	HisJ:	
Signal transduction mechanisms	Chemotaxis signal transduction protein CheW		COG0835	CheW:	
Cell wall/membrane/envelope biogenesis	Mannose-1-phosphate guanylyltransferase		COG0836	CpsB:	
Carbohydrate transport and metabolism	Glucokinase		COG0837	Glk:Glycolysis	
Energy production and conversion	NADH:ubiquinone oxidoreductase subunit 3 (chain A)		COG0838	NuoA:NADH dehydrogenase	
Energy production and conversion	NADH:ubiquinone oxidoreductase subunit 6 (chain J)		COG0839	NuoJ:NADH dehydrogenase	
Signal transduction mechanisms	Methyl-accepting chemotaxis protein (MCP)		COG0840	Tar:	
Defense mechanisms	Multidrug efflux pump subunit AcrB		COG0841	AcrB:	
Defense mechanisms	ABC-type multidrug transport system, permease component		COG0842	YadH:	
Energy production and conversion	Heme/copper-type cytochrome/quinol oxidase, subunit 1		COG0843	CyoB:	
Cell wall/membrane/envelope biogenesis	Multidrug efflux pump subunit AcrA (membrane-fusion protein)		COG0845	AcrA:	
Defense mechanisms	Multidrug efflux pump subunit AcrA (membrane-fusion protein)		COG0845	AcrA:	
Posttranslational modification, protein turnover, chaperones	NAD-dependent protein deacetylase, SIR2 family		COG0846	SIR2:	
Replication, recombination and repair	DNA polymerase III, epsilon subunit or related 3'-5' exonuclease		COG0847	DnaQ:	
Intracellular trafficking, secretion, and vesicular transport	Biopolymer transport protein ExbD		COG0848	ExbD:	
Cell cycle control, cell division, chromosome partitioning	Cell division ATPase FtsA		COG0849	FtsA:	
Cell cycle control, cell division, chromosome partitioning	Septum site-determining protein MinC		COG0850	MinC:	
Cell cycle control, cell division, chromosome partitioning	Septum formation topological specificity factor MinE		COG0851	MinE:	
Energy production and conversion	NADH:ubiquinone oxidoreductase 27 kD subunit (chain C)		COG0852	NuoC:NADH dehydrogenase	
Coenzyme transport and metabolism	Aspartate 1-decarboxylase		COG0853	PanD:Pantothenate/CoA biosynthesis	
