L1	ID	Function	EC	UNIPROT ID
Function unknown	VOG06031	hypothetical protein		
Function unknown	VOG06032	unknown similar to AMEV070		
Function unknown	VOG06033	hypothetical protein		
Function unknown	VOG06034	hypothetical protein		
Function unknown	VOG06035	hypothetical protein		
Function unknown	VOG06036	hypothetical protein		
Function unknown	VOG06037	hypothetical protein		
Function unknown	VOG06038	hypothetical protein		
Function unknown	VOG06039	hypothetical protein		
Function unknown	VOG06040	hypothetical protein		
Function unknown	VOG06041	hypothetical protein		
Function unknown	VOG06042	hypothetical protein		
Function unknown	VOG06043	Non-structural protein 2		NS2_BAVJK
Function unknown	VOG06044	hypothetical protein		
Function unknown	VOG06045	unknown similar to AMEV102		
Function unknown	VOG06046	hypothetical protein		
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG06047	Genome polyprotein		POLG_TRMVU
Function unknown	VOG06048	hypothetical protein		
Function unknown	VOG06049	hypothetical protein		
Function unknown	VOG06050	Head formation protein		VG40_BPT4
Function unknown	VOG06051	Protein OPG192		PG192_MONPV
Function unknown	VOG06052	excisionase		
Function unknown	VOG06053	hypothetical protein		
Function unknown	VOG06054	hypothetical protein		
Function unknown	VOG06055	hypothetical protein		
Virus protein with function beneficial for the host	VOG06056	G-protein coupled receptor Mth		MTH_DROYA
Function unknown	VOG06057	Uncharacterized protein ORF61a		Y061A_ABVP
Function unknown	VOG06058	Non-structural protein 1		NSP1N_ROTB2
Function unknown	VOG06059	ORF57		
Function unknown	VOG06060	Uncharacterized protein 373L		373L_IIV6
Function unknown	VOG06061	Gene 45 protein		VG45_BPML5
Function unknown	VOG06062	hypothetical protein		
Function unknown	VOG06063	hypothetical protein		
Function unknown	VOG06064	Hypothetical protein		
Function unknown	VOG06065	hypothetical protein		
Virus protein with function beneficial for the host | Virus replication	VOG06066	RNA-directed RNA polymerase L		L_CPSVP
Function unknown	VOG06067	hypothetical protein		
Function unknown	VOG06068	putative holin-like toxin		
Function unknown	VOG06069	unknown similar to AMEV223		
Function unknown	VOG06070	hypothetical protein		
Function unknown	VOG06071	hypothetical protein		
Function unknown	VOG06072	hypothetical protein		
Function unknown	VOG06073	Gene 44.1 protein		VG441_BPMD2
Function unknown	VOG06074	hypothetical protein		
Function unknown	VOG06075	Protein U15		U15_HHV6Z
Function unknown	VOG06076	hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG06077	Protein E4		VE4_HPV18
Function unknown	VOG06078	tail length tape measure protein		
Function unknown	VOG06079	hypothetical protein		
Function unknown	VOG06080	hypothetical protein		
Function unknown	VOG06081	hypothetical protein		
Function unknown	VOG06082	Uncharacterized protein 107R		VF117_IIV3
Function unknown	VOG06083	hypothetical protein		
Function unknown	VOG06084	hypothetical protein		
Function unknown	VOG06085	hypothetical protein		
Function unknown	VOG06086	hypothetical protein		
Function unknown	VOG06087	hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG06088	Apoptin		VP3_CAVCI
Function unknown	VOG06089	hypothetical protein 1		
Function unknown	VOG06090	Uncharacterized protein 058R		VF391_IIV3
Function unknown	VOG06091	hypothetical protein		
Virus structure	VOG06092	Capsid protein		CAPSD_MCMVK
Function unknown	VOG06093	structural protein P1		
Function unknown	VOG06094	Uncharacterized protein 087L		087L_FRG3G
Function unknown	VOG06095	hypothetical protein		
Function unknown	VOG06096	e164		
Function unknown	VOG06097	hypothetical protein		
Virus structure	VOG06098	Capsid protein		CAPSD_OUMVV
Function unknown	VOG06099	Uncharacterized 8.3 kDa protein in ri-tk intergenic region		Y05Q_BPT4
Function unknown	VOG06100	Uncharacterized protein 054L		054L_IIV3
Function unknown	VOG06101	hypothetical protein		
Virus structure	VOG06102	Putative capsid protein V20		CAPSD_SPTNK
Function unknown	VOG06103	unknown similar to AMEV126		
Function unknown	VOG06104	hypothetical protein		
Function unknown	VOG06105	tail assembly chaperone		
Function unknown	VOG06106	Uncharacterized protein HKLF1		IR01_HCMVA
Function unknown	VOG06107	hypothetical protein		
Function unknown	VOG06108	capsid protein C		
Function unknown	VOG06109	unknown similar to AMEV040		
Function unknown	VOG06110	tail fiber protein		
Function unknown	VOG06111	hypothetical protein		
Function unknown	VOG06112	hypothetical protein		
Function unknown	VOG06113	unknown similar to AMEV237		
Function unknown	VOG06114	hypothetical protein		
Function unknown	VOG06115	Holliday junction DNA helicase ruvB N-terminus incomplete domain containing protein		
Function unknown	VOG06116	hypothetical protein		
Function unknown	VOG06117	hypothetical protein		
Function unknown	VOG06118	unknown similar to AMEVITR12		
Function unknown	VOG06119	putative capsid protein		
Function unknown	VOG06120	pr160		
Function unknown	VOG06121	virion structural protein		
Function unknown	VOG06122	hypothetical protein		
Function unknown	VOG06123	hypothetical protein		
Virus protein with function beneficial for the host	VOG06124	OPG024 protein		PG024_VACCW
Function unknown	VOG06125	Uncharacterized protein ORF53b		Y053B_ABVP
Function unknown	VOG06126	hypothetical protein		
Function unknown	VOG06127	Chitinase		
Function unknown	VOG06128	hypothetical protein		
Function unknown	VOG06129	hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG06130	Envelope glycoprotein gp62		ENV_HTL1M
Function unknown	VOG06131	hypothetical protein		
Function unknown	VOG06132	Uncharacterized protein ORF54		Y054_ABVP
Function unknown	VOG06133	hypothetical protein		
Function unknown	VOG06134	Uncharacterized protein ORF170		Y170_ABVP
Function unknown	VOG06135	hypothetical protein		
Function unknown	VOG06136	hypothetical protein		
Function unknown	VOG06137	hypothetical protein		
Function unknown	VOG06138	Uncharacterized protein 049R		049R_IIV3
Function unknown	VOG06139	hypothetical protein		
Function unknown	VOG06140	E4		
Function unknown	VOG06141	COG4956 domain containing protein		
Function unknown	VOG06142	Cyanophycin synthetase incomplete domain containing protein		
Function unknown	VOG06143	hypothetical protein		
Function unknown	VOG06144	hypothetical protein		
Function unknown	VOG06145	hypothetical protein		
Function unknown	VOG06146	hypothetical protein		
Function unknown	VOG06147	hypothetical protein		
Function unknown	VOG06148	putative exostosin family protein		
Function unknown	VOG06149	hypothetical protein		
Virus protein with function beneficial for the host	VOG06150	Probable protein E5		VE5_HPV18
Function unknown	VOG06151	p16		
Function unknown	VOG06152	E9		
Function unknown	VOG06153	Protein U91		U91_HHV6Z
Function unknown	VOG06154	Uncharacterized protein 063R		VF309_IIV3
Function unknown	VOG06155	HNH endonuclease		
Function unknown	VOG06156	hypothetical protein		
Function unknown	VOG06157	hypothetical protein		
Function unknown	VOG06158	hypothetical protein		
Function unknown	VOG06159	tail fiber protein		
Function unknown	VOG06160	hypothetical protein		
Virus protein with function beneficial for the host	VOG06161	Transcriptional activator BRRF1		BRRF1_EBVB9
Function unknown	VOG06162	hypothetical protein		
Function unknown	VOG06163	hypothetical protein		
Function unknown	VOG06164	unknown similar to AMEV013		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG06165	Virion membrane protein OPG147		PG147_VACCW
Function unknown	VOG06166	hypothetical protein		
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG06167	Genome polyprotein		POLG_SPMMV
Function unknown	VOG06168	hypothetical protein		
Function unknown	VOG06169	Uncharacterized protein UL30		UL30_HCMVM
Function unknown	VOG06170	hypothetical protein 1		
Function unknown	VOG06171	ORF4		
Function unknown	VOG06172	hypothetical protein		
Function unknown	VOG06173	envelope protein UL128		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG06174	Genome polyprotein		POLG_MCFA
Function unknown	VOG06175	hypothetical protein		
Function unknown	VOG06176	hypothetical protein		
Function unknown	VOG06177	hypothetical protein		
Function unknown	VOG06178	Putative transmembrane protein ORF92		Y092_ABVP
Function unknown	VOG06179	putative transcription factor		
Function unknown	VOG06180	protein ORF62		
Function unknown	VOG06181	hypothetical protein		
Function unknown	VOG06182	Uncharacterized protein UL124		UL124_HCMVM
Function unknown	VOG06183	hypothetical protein		
Function unknown	VOG06184	Uncharacterized gene A6 protein		VGA6_ALHV1
Function unknown	VOG06185	hypothetical protein		
Function unknown	VOG06186	RNA-dependent RNA polymerase		
Function unknown	VOG06187	hypothetical protein		
Function unknown	VOG06188	N-acetylmuramoyl-L-alanine amidase		
Function unknown	VOG06189	Uncharacterized protein ORF54		VG54_ICHVA
Function unknown	VOG06190	hypothetical protein		
Function unknown	VOG06191	hypothetical protein		
Function unknown	VOG06192	terminase small subunit		
Function unknown	VOG06193	hypothetical protein		
Virus protein with function beneficial for the host	VOG06194	Uncharacterized protein FPV237		V237_FOWPN
Virus protein with function beneficial for the host	VOG06195	G-protein coupled receptor homolog U51		VU51_HHV6U
Function unknown	VOG06196	unknown similar to AMEV156		
Function unknown	VOG06197	hypothetical protein		
Virus replication	VOG06198	Suppressor of silencing 2b		2B_CMVFN
Virus protein with function beneficial for the host	VOG06199	Equilibrative nucleoside transporter 1		S29A1_RAT
Function unknown	VOG06200	hypothetical protein		
Function unknown	VOG06201	hypothetical protein		
Virus protein with function beneficial for the host	VOG06202	Protein OPG055		PG055_VARV
Function unknown	VOG06203	hypothetical protein		
Function unknown	VOG06204	hypothetical protein		
Virus protein with function beneficial for the host | Virus replication	VOG06205	RNA-directed RNA polymerase		RDRP_MCMVK
Function unknown	VOG06206	hypothetical protein		
Function unknown	VOG06207	hypothetical protein 1		
Function unknown	VOG06208	hypothetical protein		
Function unknown	VOG06209	protein ORF5		
Function unknown	VOG06210	hypothetical protein		
Function unknown	VOG06211	unknown similar to AMEV140		
Function unknown	VOG06212	hypothetical protein		
Function unknown	VOG06213	Uncharacterized 6.4 kDa protein in GP41-PNK intergenic region		Y085_NPVAC
Function unknown	VOG06214	protein ORF3		
Function unknown	VOG06215	hypothetical protein		
Function unknown	VOG06216	hypothetical protein		
Function unknown	VOG06217	hypothetical protein		
Function unknown	VOG06218	hypothetical protein		
Function unknown	VOG06219	Clas24		
Function unknown	VOG06220	HNH endonuclease		
Function unknown	VOG06221	hypothetical protein		
Function unknown	VOG06222	hypothetical protein		
Function unknown	VOG06223	hypothetical protein		
Virus protein with function beneficial for the host	VOG06224	Immediate-early protein IE-G		VIEG_SHV21
Function unknown	VOG06225	Uncharacterized protein UL21A		UL21A_HCMVM
Function unknown	VOG06226	peptidoglycan-associated protein		
Function unknown	VOG06227	protein ORF57		
Function unknown	VOG06228	hypothetical protein		
Function unknown	VOG06229	hypothetical protein		
Function unknown	VOG06230	hypothetical protein		
Function unknown	VOG06231	unknown similar to AMEV104		
Function unknown	VOG06232	ORF078R		
Function unknown	VOG06233	proline-alanine-rich protein		
Function unknown	VOG06234	hypothetical protein		
Function unknown	VOG06235	Uncharacterized protein ORF56		VG56_ICHVA
Function unknown	VOG06236	head-tail adaptor		
Function unknown	VOG06237	hypothetical protein		
Virus structure	VOG06238	Capsid protein		CAPSD_CACV4
Function unknown	VOG06239	hypothetical protein		
Function unknown	VOG06240	hypothetical protein		
Function unknown	VOG06241	hypothetical protein		
Function unknown	VOG06242	Uncharacterized gene 45 protein		VG45_ALHV1
Virus protein with function beneficial for the virus	VOG06243	Protein UL40		UL40_HCMVA
Function unknown	VOG06244	hypothetical protein		
Function unknown	VOG06245	putative capsid triplex subunit 1		
Function unknown	VOG06246	hypothetical protein		
Function unknown	VOG06247	V4		
